bark_id,location,time_of_day,weather,npc_or_state,story_phase,text,voice_cue
NAR-BARK-001-warm-036,广场,午,晴,尤吉欧,day3_afternoon,三个人一起走的路线，才算路线。,尤吉欧：分工式，语气稳
NAR-BARK-001-daily-037,教堂/书库,晨,晴,,day1_morning,晨光落在旧纸页的灰尘上。,环境声：纸页与光线
NAR-BARK-001-daily-038,教堂/书库,晨,雨,赛尔卡,day1_morning,这页墨快淡了，我来抄一份。,赛尔卡：轻声，动手前先说
NAR-BARK-001-daily-039,教堂/书库,午,晴,爱丽丝,day1_afternoon,祈句背完，再帮我看一行记录。,爱丽丝：先完成手头的事
NAR-BARK-001-abn-040,教堂/书库,午,雨,记录员,day1_afternoon,第十四页和第十五页之间夹了东西。,记录员：压低，只报位置
NAR-BARK-001-daily-041,教堂/书库,暮,晴,,day1_night,烛火把书脊的影子拉得很长。,环境声：烛光晃动
NAR-BARK-001-abn-042,教堂/书库,夜,晴,记录员,day1_night,这页字迹和前后不一样。,记录员：停一下，语气平
NAR-BARK-001-tense-043,教堂/书库,晨,雾,爱丽丝,day2_morning,你先告诉我，这页是谁抄的。,爱丽丝：追问事实，不追问动机
NAR-BARK-001-warm-044,教堂/书库,午,晴,爱丽丝,day2_afternoon,你补的符号，我认得出是你写的。,爱丽丝：认可落在具体细节
NAR-BARK-001-tense-045,教堂/书库,暮,雨,记录员,day2_night,我没全说。但记的都对得上。,记录员：句号断开，不解释
NAR-BARK-001-abn-046,教堂/书库,夜,北风,,day2_night,书库深处传来纸页翻动声，没有人。,环境声：风与纸响
NAR-BARK-001-post-047,教堂/书库,晨,晴,爱丽丝,day3_morning,把两天前那页摊开，重新对一遍。,爱丽丝：给出可执行动作
NAR-BARK-001-post-048,教堂/书库,午,晴,赛尔卡,day3_afternoon,传闻我也整理了一份，可以交叉着看。,赛尔卡：先交付成果
NAR-BARK-001-warm-049,教堂/书库,暮,晴,尤吉欧,day3_night,你朗读记录的样子，和平时不一样。,尤吉欧：半拍停顿后说
NAR-BARK-001-tense-050,教堂/书库,午,北风,记录员,day3_afternoon,目录上没有这一条。所以我记下了。,记录员：不立论，只陈述
NAR-BARK-001-daily-051,教堂/书库,夜,晴,加斯夫特,day1_night,旧记录翻多了，人会想太多。,加斯夫特：慢，像在提醒
NAR-BARK-001-daily-052,教堂/书库,晨,雨,,day1_morning,雨点在窗棂上敲出节拍。,环境声：雨声轻敲
NAR-BARK-001-abn-053,教堂/书库,午,雾,,day2_afternoon,雾从窗缝渗进来，纸角微潮。,环境声：潮湿感
NAR-BARK-001-warm-054,教堂/书库,暮,晴,爱丽丝,day2_night,这条记完，今天就先到这。,爱丽丝：主动收尾，语气松
NAR-BARK-001-daily-055,巨神树,晨,晴,尤吉欧,day1_morning,今天斧刃先磨，树不急。,尤吉欧：先工具后目标
NAR-BARK-001-daily-056,巨神树,晨,雨,尤吉欧,day1_morning,雨天的树皮滑，落斧要稳。,尤吉欧：像在叮嘱同行者
NAR-BARK-001-daily-057,巨神树,午,晴,,day1_afternoon,斧声起落，树皮屑落了一地。,环境声：斧声与木屑
NAR-BARK-001-abn-058,巨神树,午,北风,记录员,day1_afternoon,树冠方向的鸟，今天没有。,记录员：报缺失，不带情绪
NAR-BARK-001-daily-059,巨神树,暮,晴,尤吉欧,day1_night,今天少砍二十下。我记在自己头上。,尤吉欧：承担，语气平
NAR-BARK-001-daily-060,巨神树,夜,晴,,day1_night,夜里巨树的影子比白天长。,环境声：静夜树影
NAR-BARK-001-warm-061,巨神树,午,晴,尤吉欧,day2_afternoon,靠北那侧的年轮，一直长得慢。,尤吉欧：比喻来自木头
NAR-BARK-001-abn-062,巨神树,午,雾,,day2_afternoon,斧痕深处的雾比树冠更浓。,环境声：雾滞于树隙
NAR-BARK-001-tense-063,巨神树,暮,雨,爱丽丝,day2_night,今天别再往北侧多砍。,爱丽丝：指令短，条件前置
NAR-BARK-001-warm-064,巨神树,暮,晴,尤吉欧,day2_night,树干回震断了一下，你们都在吗？,尤吉欧：停顿，数人头
NAR-BARK-001-post-065,巨神树,晨,北风,记录员,day3_morning,斧痕深度和昨天一样。记下了。,记录员：先数据后结论
NAR-BARK-001-tense-066,巨神树,午,晴,爱丽丝,day3_afternoon,给我看看手——现在，不是回家看。,爱丽丝：现场验证，不给延后
NAR-BARK-001-post-067,巨神树,夜,北风,尤吉欧,day3_night,等它倒了……先把今天砍完吧。,尤吉欧：长停顿，拉回日常
NAR-BARK-001-abn-068,巨神树,晨,晴,,day2_morning,树皮内侧露出一层浅色。,环境声：细节被发现
NAR-BARK-001-daily-069,巨神树,午,晴,,day1_afternoon,树冠上有一只鸟不肯飞走。,环境声：鸟声单薄
NAR-BARK-001-tense-070,巨神树,暮,雾,记录员,day2_night,停。听北边，别出声。,记录员：四字以下，只剩动词
NAR-BARK-001-daily-071,巨神树,午,晴,尤吉欧,day2_afternoon,今天风停的时候，回震也断了一下。,尤吉欧：观察后陈述，不渲染
NAR-BARK-001-abn-072,巨神树,夜,晴,,day1_night,深夜的巨树旁，虫声缺了一块。,环境声：声音的缺失
NAR-BARK-001-daily-073,溪边,晨,晴,,day1_morning,溪水在石间绕行，声音一直不断。,环境声：水流持续
NAR-BARK-001-abn-074,溪边,晨,雾,,day1_morning,雾里的溪声比平时远。,环境声：距离被拉远
NAR-BARK-001-daily-075,溪边,午,晴,赛尔卡,day1_afternoon,溪水今天有点涩，别急着喝。,赛尔卡：先提醒状态
NAR-BARK-001-daily-076,溪边,午,雨,,day1_afternoon,雨点打在水面上，溪声变密。,环境声：雨落水面
NAR-BARK-001-daily-077,溪边,暮,晴,,day1_night,暮色里溪面反着最后的亮。,环境声：光线收束
NAR-BARK-001-daily-078,溪边,夜,晴,,day1_night,夜里溪水声显得格外清楚。,环境声：夜间水流
NAR-BARK-001-abn-079,溪边,午,晴,记录员,day2_afternoon,溪边这一段，虫声也停了。,记录员：报范围与现象
NAR-BARK-001-warm-080,溪边,午,北风,尤吉欧,day2_afternoon,水渠源头那边，去年冻过一次。,尤吉欧：用旧事接话
NAR-BARK-001-tense-081,溪边,暮,雨,爱丽丝,day2_night,别用这里的溪水泡伤口。,爱丽丝：风险指令，语气硬
NAR-BARK-001-post-082,溪边,晨,晴,赛尔卡,day3_morning,老人说水怪过冬天，我记下来了。,赛尔卡：交付记录，语气轻
NAR-BARK-001-warm-083,溪边,午,晴,爱丽丝,day3_afternoon,你上次圈的水样记录，我复核过了。,爱丽丝：认可具体工作
NAR-BARK-001-post-084,溪边,暮,晴,,day3_night,溪水依旧，像什么也没发生过。,环境声：常态与昨日对比
NAR-BARK-001-abn-085,溪边,夜,雾,,day2_night,雾把溪面盖住，只留下声音。,环境声：只闻其声
NAR-BARK-001-daily-086,溪边,午,晴,,day1_afternoon,洗菜的声音混进溪水里。,环境声：日常劳作
NAR-BARK-001-daily-087,伐木工坊,晨,晴,尤吉欧,day1_morning,斧柄该换了，裂了一道。,尤吉欧：观察工具，语气平
NAR-BARK-001-daily-088,伐木工坊,晨,雨,,day1_morning,磨斧声被雨声盖住一半。,环境声：雨与磨石
NAR-BARK-001-daily-089,伐木工坊,午,晴,尤吉欧,day1_afternoon,木屑堆起来，就是一天。,尤吉欧：把劳作说成刻度
NAR-BARK-001-daily-090,伐木工坊,午,北风,,day1_afternoon,北风把锯末吹进门槛里。,环境声：风与木屑
NAR-BARK-001-daily-091,伐木工坊,暮,晴,尤吉欧,day1_night,收工前把工具归位，明天省心。,尤吉欧：收尾前交代日常
NAR-BARK-001-daily-092,伐木工坊,夜,晴,,day1_night,工坊里只点一盏灯，木香很浓。,环境声：灯下木香
NAR-BARK-001-warm-093,伐木工坊,午,晴,尤吉欧,day2_afternoon,这块木料纹理好，我想雕个东西。,尤吉欧：兴致低音量，像自言自语
NAR-BARK-001-abn-094,伐木工坊,午,雾,,day2_afternoon,雾里的锯声停了一息。,环境声：声音缺口
NAR-BARK-001-tense-095,伐木工坊,暮,雨,尤吉欧,day2_night,别一个人进北面的林子。,尤吉欧：软化词消失，命令式
NAR-BARK-001-post-096,伐木工坊,晨,晴,记录员,day3_morning,绳结重新绑过了。三遍。,记录员：报数字，句短
NAR-BARK-001-warm-097,伐木工坊,午,晴,尤吉欧,day3_afternoon,雕好了，是棵树的形状。送你的。,尤吉欧：语气放软，句末停顿
NAR-BARK-001-post-098,伐木工坊,暮,晴,尤吉欧,day3_night,明天还要来。工具都擦好了。,尤吉欧：把承诺落成动作
NAR-BARK-001-tense-099,伐木工坊,夜,北风,记录员,day2_night,明天不过去。后天带绳。,记录员：拒绝给替代方案
NAR-BARK-001-daily-100,伐木工坊,午,晴,尤吉欧,day1_afternoon,这块疤是旧霜咬的，像去年那次。,尤吉欧：比喻取自霜与木
NAR-BARK-001-daily-101,家/炉边,晨,晴,爱丽丝,day1_morning,早饭在锅里，趁热。,爱丽丝：关心落成递食物
NAR-BARK-001-daily-102,家/炉边,晨,雨,赛尔卡,day1_morning,雨天容易着凉，药草汤备好了。,赛尔卡：先关心状态
NAR-BARK-001-daily-103,家/炉边,午,晴,,day1_afternoon,屋里飘着柴火和面包的味道。,环境声：炉火与食物
NAR-BARK-001-daily-104,家/炉边,午,雨,,day1_afternoon,雨敲屋瓦，炉火很安静。,环境声：雨声与火声
NAR-BARK-001-daily-105,家/炉边,暮,晴,爱丽丝,day1_night,手先暖过来。明天还要写字。,爱丽丝：递汤加技术性提醒
NAR-BARK-001-daily-106,家/炉边,暮,雨,,day1_night,三人围炉，汤碗冒着热气。,环境声：碗盏轻响
NAR-BARK-001-daily-107,家/炉边,夜,晴,,day1_night,炉火把影子拉成三个方向。,环境声：火光晃动
NAR-BARK-001-abn-108,家/炉边,夜,北风,记录员,day1_night,北风把窗缝吹得发尖。,记录员：只报可闻现象
NAR-BARK-001-warm-109,家/炉边,暮,晴,爱丽丝,day2_night,今天多放了盐，是不是？你尝出来没有。,爱丽丝：被尤吉欧说破的关心
NAR-BARK-001-tense-110,家/炉边,暮,雨,爱丽丝,day2_night,我不是追责。我是想知道还有多少事瞒着我。,爱丽丝：句变长，用条理压情绪
NAR-BARK-001-tense-111,家/炉边,夜,晴,尤吉欧,day2_night,可以去看，但要先想清楚怎么回来。,尤吉欧：先共情后条件
NAR-BARK-001-warm-112,家/炉边,夜,雨,尤吉欧,day2_night,说实话，我有点怕。不过和你一起，想去看。,尤吉欧：承认恐惧，句子放软
NAR-BARK-001-post-113,家/炉边,晨,晴,爱丽丝,day3_morning,今天不按目录判，按我们三个都看见的判。,爱丽丝：引用共同记录，不再引目录
NAR-BARK-001-post-114,家/炉边,午,晴,记录员,day3_afternoon,两息就撤。这个约定留到明天。,记录员：给数字，给动作
NAR-BARK-001-post-115,家/炉边,暮,晴,爱丽丝,day3_night,那这一页，我们当确认过了。,爱丽丝：用我们收尾，语气松
NAR-BARK-001-post-116,家/炉边,暮,北风,尤吉欧,day3_night,今晚风正常，像是把线放回去了。,尤吉欧：比喻回来，压力下降
NAR-BARK-001-warm-117,家/炉边,夜,雾,赛尔卡,day3_night,姐姐今晚没有一个人坐很久。,赛尔卡：低声，像在确认
NAR-BARK-001-warm-118,家/炉边,晨,晴,爱丽丝,day2_morning,你来了。刚才我还在想，你会不会又藏着。,爱丽丝：升温档，允许自己出现
NAR-BARK-001-daily-119,家/炉边,夜,晴,赛尔卡,day1_night,睡前复诵一遍祈句，睡得更沉。,赛尔卡：轻声，像惯例
NAR-BARK-001-post-120,家/炉边,暮,雨,,day3_night,雨声里，炉边的话比前两天密。,环境声：话声与雨声混在一起
