fragment_id,date_or_source,credibility,visibility,raw_text,implied_contradiction,linked_characters,trigger_event,notes
NAR-LORE-001-011,元历117年·巨神树伐木场标记板,medium,被涂改,「巨神树伐木场标记板：今日斧痕〔数字被改过两次，墨色深浅不一〕……树皮采样〔整行被划掉〕……。划掉的墨线与板面其余字迹深浅不同，像有人事后清除。」,被划掉的整行内容是树皮内侧见霜白结晶。,尤吉欧,树皮采样调查时发现标记板与采样记录不符。,可反证——现场重新采样可复现霜白结晶。
NAR-LORE-001-012,元历116年冬·北境观察日志（加利塔夜巡）,medium,被涂改,「北境观察日志（加利塔夜巡·冬）：风声断〔夜间字迹被反复涂黑〕……鸟未归……。涂黑处墨层至少三层，越往里越用力，几乎刮破纸面。」,加利塔上报的例行无异常与日志涂改内容矛盾，涂改者像是他自己。,加利塔,北门夜巡后核对；直接询问加利塔。,可反证——涂黑处可借光照辨读，反证其公开说法。
NAR-LORE-001-013,元历117年·水源检测册页边,low,矛盾旁注,「正文：卢利特村水源检测——入口井水澄澈，无异味，可安全饮用。／页边：去年冬天喝过那水的人家，后来都说是错觉。可那不是错觉。」,正文与页边对同一批井水的评价完全相反。,赛尔卡,溪边水源调查；对照 NAR-LORE-001-002 与 008。,可反证——后排水质记录若检出涩味，则正文失真、旁注为真。
NAR-LORE-001-014,元历115年·天职登记册页边,low,矛盾旁注,「正文：现役伐木手二人，前任一人已退，缘由年事已高。／页边：退了？村里谁见着他退的？我守北门十年，没见过他出村。页边笔迹粗，像赶时间写的。」,退任与没见他出村冲突，前任伐木手可能仍在村内某处。,加利塔、尤吉欧,伐木手任期调查；与 003、009 互相印证。,前任去向是核心悬念之一，留待后续章节收束。
NAR-LORE-001-015,元历116年·基加斯西达测量册页边,medium,矛盾旁注,「正文：基加斯西达树围与去年秋测一致，未见生长。／页边：入冬前我亲自量过一次，比秋测多了两指。两指！不可能记错。这行旁注的墨色比正文晚得多。」,正文称未见生长，页边称多了两指，巨神树可能在生长。,尤吉欧,巨神树树围复测。,可反证——现场复测即可定论。
NAR-LORE-001-016,元历112年·北境巡查报告页边,low,矛盾旁注,「正文：北境例行巡查未见异常，路标、撤退点完好。／页边：他们没走到听不见鸟的地方。走到那儿的人，都没回来写报告。页边字迹向外缘挤，像是贴着纸边写的。」,未见异常只是因为巡查从未走到静默线以内。,加利塔,北门巡查路线复核。,页边与 004 的事后补写疑点互相印证。
NAR-LORE-001-017,元历102年·爱丽丝村籍页边,low,矛盾旁注,「正文：爱丽丝，村长之女，幼年记录——六岁能背完整祈句，受洗当日记入村籍，当日天晴。／页边：那天没下雨？可我记事里，那年的受洗日在下雨。」,村籍说当日天晴，页边说在下雨，其中一份记错了日子或有意改过。,爱丽丝、赛尔卡,爱丽丝童年相关剧情；核对教会记事簿。,可反证——教会记事簿的天气栏与村籍记录互相矛盾。
NAR-LORE-001-018,元历110年·北境异常记录页边,low,矛盾旁注,「正文：鸟声消失现象，先年冬日记为一次，起因未明。／页边：第二次没敢记。第三次来的时候，村里会先知道。页边压在装订线上，不翻开看不见。」,孤本自称一次，页边声称已有第二次并预判第三次。,加利塔、赛尔卡,静默线复核；赛尔卡整理的传闻交叉验证。,可反证——若确证第二起记录存在，孤本与正文均失真。
NAR-LORE-001-019,口述转写·磨坊老人（赛尔卡转录）,low,口述转写,「口述转写（磨坊老人，转录者赛尔卡）：『水是村里最怪的东西。我爷爷说井水从来不坏，可有一年冬天，整个村子的水都是涩的，谁也不提，也不许提。』」,老人记忆中的冬天涩水没有对应官方记录，官方反而记录无异味。,赛尔卡,溪边水源调查时向老人求证。,可信度低但可与 002、008、013 互相印证，属可反证项。
NAR-LORE-001-020,口述转写·守夜老人（记录员转录）,low,口述转写,「口述转写（守夜老人，转录者记录员）：『巨神树不是砍不完，是不敢砍完。你问老一代，都知道树皮底下有东西。当年有人瞧见过，后来那人就调去北门守夜了。』」,树皮底下有东西与手册的沉积层正常冲突；调去北门守夜暗示惩罚而非轮换。,尤吉欧、加利塔,巨神树树皮调查；向守夜老人追问。,口述可信度低，但守夜老人身份与加利塔职务暗合。
NAR-LORE-001-021,口述转写·杂货铺老板娘（记录员转录）,low,口述转写,「口述转写（杂货铺老板娘，转录者记录员）：『北边那阵安静，比打雷还响。你听不见，才是听见了。我们家那口子去巡过一次，回来只说了一句话，就再也不肯提。』」,听不见才是听见暗示静默线不是没声音，而是声音被拿走了。,加利塔,广场听传闻时触发。,老板娘丈夫的下落可被调查反证。
NAR-LORE-001-022,口述转写·村口补鞋匠（记录员转录）,low,口述转写,「口述转写（村口补鞋匠，转录者记录员）：『尤吉欧他家，祖上不是本地人。太爷爷那辈从北边迁来，村里记的是收留，他家里记的是逃。』」,教会迁移登记记收留，家族口述记逃，尤吉欧家族与北境的关系存疑。,尤吉欧,尤吉欧家族史调查；对照 009 撕页残留的北字。,可反证——教会迁移登记与家族口述冲突，恰构成历史真相的两面。
NAR-LORE-001-023,口述转写·洗衣妇人（赛尔卡转录）,low,口述转写,「口述转写（洗衣妇人，转录者赛尔卡）：『爱丽丝小时候发过一次烧，烧了三天。醒过来说要去北边找什么东西，村长家说那是胡话。可她说的地名，现在没人认得。』」,幼年爱丽丝提及的北边某地与爱丽丝自己此后的记忆对不上。,爱丽丝、赛尔卡,爱丽丝相关剧情。,口述可信度低，可成为爱丽丝记忆缺口的伏笔。
NAR-LORE-001-024,口述转写·老猎户（记录员转录）,low,口述转写,「口述转写（老猎户，转录者记录员）：『你们说的静默线，老早就有。我年轻时跟着大人进过一次山，风一停，他们立刻往回跑。回来谁都不让说，连路标都换了位置。』」,老猎户说静默线老早就有，官方孤本却记为先年冬首次出现。,加利塔,森林静默线确认。,可反证——若孤本为真则老人记忆失真；若老人为真则孤本时间线失真。
